offset	max_var	min_est	log_det	combination	has_repeats	dcbc
1e-06	0.024684245602318602	2002939.1032389319	-56.53127667710406	(13, 18, 2, 15, 21, 25, 18, 15)	1	0.05150607228279114
0.001	0.03167724560231861	3445.4368305891257	-40.73807854337071	(13, 18, 2, 15, 21, 25, 18, 15)	1	0.05150607228279114
0.1	0.7246772456023186	67.7116945033779	-15.880557198708821	(13, 18, 2, 15, 21, 25, 18, 15)	1	0.05150607228279114
1e-06	0.015480109735214704	2004077.9632996419	-58.93312136837229	(7, 14, 17, 6, 17, 21, 5, 0)	1	0.03931540250778198
0.001	0.022473109735214703	3865.982289570282	-42.48455281846248	(7, 14, 17, 6, 17, 21, 5, 0)	1	0.03931540250778198
0.1	0.7154731097352147	68.5397613359934	-15.967826411666177	(7, 14, 17, 6, 17, 21, 5, 0)	1	0.03931540250778198
1e-06	0.018351685428110658	2003341.2395226478	-57.924294946871385	(4, 14, 19, 17, 5, 27, 17, 6)	1	0.04138631001114845
0.001	0.02534468542811066	3661.0693243193164	-41.845941456253215	(4, 14, 19, 17, 5, 27, 17, 6)	1	0.04138631001114845
0.1	0.7183446854281107	68.28208390510765	-15.940641404517883	(4, 14, 19, 17, 5, 27, 17, 6)	1	0.04138631001114845
1e-06	0.015592890840976998	1007605.9411886664	-53.390071944439036	(8, 17, 1, 13, 13, 20, 28, 0)	1	0.04051903262734413
0.001	0.022585890840976997	3677.2350539611366	-42.28397179107702	(8, 17, 1, 13, 13, 20, 28, 0)	1	0.04051903262734413
0.1	0.715585890840977	68.52622229618869	-15.966580604876654	(8, 17, 1, 13, 13, 20, 28, 0)	1	0.04051903262734413
1e-06	0.016933139121448715	1042688.23559333	-54.08221854795267	(1, 11, 24, 2, 14, 9, 6, 6)	1	0.04232000559568405
0.001	0.023926139121448715	3453.948465585958	-41.521355142209245	(1, 11, 24, 2, 14, 9, 6, 6)	1	0.04232000559568405
0.1	0.7169261391214488	68.37850960219768	-15.952447045504401	(1, 11, 24, 2, 14, 9, 6, 6)	1	0.04232000559568405
1e-06	0.014458100228425743	2004279.6684175818	-59.071365491944476	(5, 7, 17, 1, 22, 6, 28, 6)	1	0.039398930966854095
0.001	0.021451100228425748	3876.9001965154876	-42.57411861537339	(5, 7, 17, 1, 22, 6, 28, 6)	1	0.039398930966854095
0.1	0.7144511002284257	68.62521328028674	-15.977174262005224	(5, 7, 17, 1, 22, 6, 28, 6)	1	0.039398930966854095
1e-06	0.021389839879479032	1002896.4023155315	-49.14294537454085	(1, 19, 15, 25, 10, 2, 27, 16)	0	0.04571345075964928
0.001	0.028382839879479035	2726.172116341255	-40.04924090665659	(1, 19, 15, 25, 10, 2, 27, 16)	0	0.04571345075964928
0.1	0.721382839879479	67.96273915270686	-15.90941297506794	(1, 19, 15, 25, 10, 2, 27, 16)	0	0.04571345075964928
1e-06	0.0195750824484255	2001796.1219865766	-56.19246462516913	(20, 6, 0, 3, 20, 0, 24, 19)	1	0.04217333346605301
0.001	0.026568082448425505	3241.8247390019305	-40.898536353325866	(20, 6, 0, 3, 20, 0, 24, 19)	1	0.04217333346605301
0.1	0.7195680824484255	68.13805933813227	-15.92725002282958	(20, 6, 0, 3, 20, 0, 24, 19)	1	0.04217333346605301
1e-06	0.023618550786086386	1009246.451344508	-52.00186443343349	(0, 11, 21, 6, 15, 24, 15, 23)	1	0.047271497547626495
0.001	0.030611550786086385	3406.185974731141	-41.02955933123839	(0, 11, 21, 6, 15, 24, 15, 23)	1	0.047271497547626495
0.1	0.7236115507860864	67.8290707100289	-15.891823449573993	(0, 11, 21, 6, 15, 24, 15, 23)	1	0.047271497547626495
1e-06	0.021188323706828202	3001601.4329366386	-64.01885416482865	(17, 2, 14, 2, 1, 17, 17, 25)	1	0.042848944664001465
0.001	0.0281813237068282	4024.1915520875837	-42.03291358568673	(17, 2, 14, 2, 1, 17, 17, 25)	1	0.042848944664001465
0.1	0.7211813237068282	68.05958801289326	-15.915489912258659	(17, 2, 14, 2, 1, 17, 17, 25)	1	0.042848944664001465
