n_task	metric	correlation
4	variance_mc	0.5581693383864577
4	log_det_mc	0.6118338798311532
4	inverse_trace_mc	0.581700548924528
4	random	0.5001676636702295
4	variance	0.546154863551956
4	variance_mc	0.6109759160900706
4	log_det_mc	0.6323092446051126
4	inverse_trace_mc	0.6476251537187349
4	random	0.4554081813689171
4	variance	0.5638308302739359
4	variance_mc	0.5677969934262372
4	log_det_mc	0.6051433467863275
4	inverse_trace_mc	0.6111362425920481
4	random	0.5255281492126774
4	variance	0.544960447962393
4	variance_mc	0.6451187445389486
4	log_det_mc	0.6131695047026418
4	inverse_trace_mc	0.6344430969290237
6	random	0.47945699154068144
6	variance	0.5616656456701155
6	variance_mc	0.6696123658133095
6	log_det_mc	0.6479955940791283
6	inverse_trace_mc	0.6471799711435777
6	random	0.5180417705699479
6	variance	0.6132081219660848
6	variance_mc	0.6417646658502131
6	log_det_mc	0.6228227691737482
6	inverse_trace_mc	0.5828242121855397
6	random	0.6479868745136113
6	variance	0.698535323810665
6	variance_mc	0.6835076886244479
6	log_det_mc	0.687114579133919
6	inverse_trace_mc	0.7079182255967714
6	random	0.4943710576882217
6	variance	0.7087630383469331
6	variance_mc	0.7063565996502001
6	log_det_mc	0.6435725440254142
6	inverse_trace_mc	0.5960664344568124
6	random	0.5904481242765546
6	variance	0.6492766158196018
6	variance_mc	0.6286897008171436
6	log_det_mc	0.7036178320864056
6	inverse_trace_mc	0.6170425766082762
6	random	0.5458512442256602
6	variance	0.6045911215355438
6	variance_mc	0.6177029802099935
6	log_det_mc	0.6691627476563751
6	inverse_trace_mc	0.6599240914944621
6	random	0.4833253942501319
6	variance	0.6184333956847125
6	variance_mc	0.6391922004789787
6	log_det_mc	0.6051048796558933
6	inverse_trace_mc	0.6611323465083646
6	random	0.4631544409356209
6	variance	0.5157690452873401
6	variance_mc	0.5168630121985345
6	log_det_mc	0.6326692239268354
6	inverse_trace_mc	0.689997971377538
6	random	0.6659187370765417
6	variance	0.6853003283107363
6	variance_mc	0.6194080768602793
6	log_det_mc	0.6551113197722952
6	inverse_trace_mc	0.6191876627043444
6	random	0.5031791711463682
6	variance	0.6352769460056482
6	variance_mc	0.6499288061707497
6	log_det_mc	0.7323844908864457
6	inverse_trace_mc	0.7403591886810729
6	random	0.6416789037104143
6	variance	0.6689636538564849
6	variance_mc	0.6570439507801454
6	log_det_mc	0.6719048425496136
6	inverse_trace_mc	0.6244586660292506
6	random	0.44176954036324007
6	variance	0.704747473338305
6	variance_mc	0.7116272237190521
6	log_det_mc	0.7112238097344027
6	inverse_trace_mc	0.6957182998646397
6	random	0.6157385619305946
6	variance	0.6632882116995544
6	variance_mc	0.6782149400596941
6	log_det_mc	0.6443242908410418
6	inverse_trace_mc	0.6192707747899797
6	random	0.5021210795857488
6	variance	0.7192853325669805
6	variance_mc	0.717583187060005
6	log_det_mc	0.6879016187880699
6	inverse_trace_mc	0.7365204122200951
6	random	0.6266219311091866
6	variance	0.6691860105652169
6	variance_mc	0.7026163026566812
6	log_det_mc	0.6610422893841943
6	inverse_trace_mc	0.6710089565643373
6	random	0.46331162314948793
6	variance	0.6732890524576398
6	variance_mc	0.6761966926156734
6	log_det_mc	0.6786158701376086
