n_task	metric	accuracy
4	random	0.8124427598467826
4	variance	0.7075196549172414
4	variance_mc	0.8529218670830856
4	log_det_mc	0.8408048006664419
4	inverse_trace_mc	0.8468649991444268
4	random	0.8225657302192508
4	variance	0.7729533354758016
4	variance_mc	0.7612102578360371
4	log_det_mc	0.7635416075193697
4	inverse_trace_mc	0.8844073792490905
4	random	0.7635199377992189
4	variance	0.7592683788354067
4	variance_mc	0.790083701075145
4	log_det_mc	0.865465547393551
4	inverse_trace_mc	0.7814612684106554
4	random	0.8749347413936658
4	variance	0.6774176176959132
4	variance_mc	0.6307011139115547
4	log_det_mc	0.6860319006477836
4	inverse_trace_mc	0.7229273656825831
4	random	0.8220476911350123
4	variance	0.7015212071487
4	variance_mc	0.7065898961706751
4	log_det_mc	0.7357568320811704
4	inverse_trace_mc	0.7232093711102228
4	random	0.8221241399124243
4	variance	0.7525962054643138
4	variance_mc	0.7992441624288849
4	log_det_mc	0.7935144852331582
4	inverse_trace_mc	0.8118531180019265
4	random	0.8307053545928208
4	variance	0.7603935485364437
4	variance_mc	0.7643496268355227
4	log_det_mc	0.7938484897257795
4	inverse_trace_mc	0.7551299312218642
4	random	0.8009292784022434
4	variance	0.7622491711884074
4	variance_mc	0.7413371372192579
4	log_det_mc	0.8799712721164461
4	inverse_trace_mc	0.8228449141425394
4	random	0.879336569337622
4	variance	0.8559022960777489
4	variance_mc	0.805699378904081
4	log_det_mc	0.8631047298185781
4	inverse_trace_mc	0.8465256894194155
4	random	0.7990462623514958
4	variance	0.7461605888205325
4	variance_mc	0.7478452114713114
4	log_det_mc	0.7513249123218793
4	inverse_trace_mc	0.7595999854981218
4	random	0.8352069794282366
4	variance	0.8699129421562252
4	variance_mc	0.9054314703755169
4	log_det_mc	0.87527426912335
4	inverse_trace_mc	0.9122960381905332
4	random	0.7817989013127051
4	variance	0.7003796251595763
4	variance_mc	0.734785742982448
4	log_det_mc	0.7614764732694823
4	inverse_trace_mc	0.7801192144145475
4	random	0.668960433860835
4	variance	0.7928690955517311
4	variance_mc	0.780226501634843
4	log_det_mc	0.7718672925457035
4	inverse_trace_mc	0.8777278368953235
4	random	0.5351050257256312
4	variance	0.7914680285951003
4	variance_mc	0.8138214944097298
4	log_det_mc	0.8754998461494378
4	inverse_trace_mc	0.8164379298478149
4	random	0.7441533844391698
4	variance	0.8765491938088904
4	variance_mc	0.7391205068681955
4	log_det_mc	0.8311088476667661
4	inverse_trace_mc	0.8398351853743334
4	random	0.666647561216875
4	variance	0.6161153249508304
4	variance_mc	0.7929698905115806
4	log_det_mc	0.8346235020081748
4	inverse_trace_mc	0.8467962227339907
4	random	0.7757162921654173
4	variance	0.7049355999375672
4	variance_mc	0.7064441381193276
4	log_det_mc	0.847616911554951
4	inverse_trace_mc	0.8473531840863192
4	random	0.8726425299445326
4	variance	0.836302459148504
4	variance_mc	0.8493761367000805
4	log_det_mc	0.7357887948153032
4	inverse_trace_mc	0.7425637280598085
4	random	0.8911443823662101
4	variance	0.7518379631166544
4	variance_mc	0.9062507954332363
4	log_det_mc	0.8586810970449094
4	inverse_trace_mc	0.8716846347953555
4	random	0.8389468708287166
4	variance	0.8060847180080926
4	variance_mc	0.8767419976453583
4	log_det_mc	0.7487010933313332
4	inverse_trace_mc	0.8999442386024502
4	random	0.6670419913214221
4	variance	0.7161316247160758
4	variance_mc	0.8391007991097725
4	log_det_mc	0.832282999718784
